@relation Height_Weight

@attribute Gender {Male,Female}
@attribute Height numeric
@attribute Weight numeric

@data
Female,187.571423,109.720985
Female,174.706036,73.622732
Female,188.239668,96.49755
Female,182.196685,99.809504
Female,177.499761,93.598619
Female,170.82266,69.042216
Female,174.714106,83.428219
Female,173.605229,76.190352
Female,170.228132,79.800187
Female,161.179495,70.941642
Female,180.836271,84.642501
Female,181.967645,96.951285
Female,164.506476,75.807679
Female,175.978998,85.931272
Female,175.87908,84.565047
Female,171.819874,78.102614
Female,183.942524,88.916962
Female,162.494787,78.418559
Female,176.885752,84.360835
Female,172.557452,82.747268
Female,172.504227,78.977593
Female,176.376177,89.689391
Female,168.018795,67.663936
Female,191.023173,103.764514
Female,172.448719,73.484921
Female,173.085843,87.245689
Female,175.487664,83.65832
Female,184.914143,93.815612
Female,171.249955,79.475633
Female,173.980895,70.008586
Female,174.290001,85.051604
Female,188.045871,96.574375
Female,181.681669,88.465065
Female,175.717609,93.069649
Female,176.726094,92.607214
Female,178.818359,87.499491
Female,175.453475,89.579087
Female,170.671549,83.375187
Female,167.150582,74.321877
Female,163.332637,73.984492
Female,172.654814,78.07933
Female,183.361142,88.017443
Female,165.786678,76.483661
Female,167.869051,73.116051
Female,171.476217,74.688584
Female,178.066157,85.693645
Female,173.359665,84.84917
Female,183.318681,94.832871
Female,175.716838,87.096166
Female,185.090715,95.863266
Female,164.547761,75.120109
Female,178.266217,91.204613
Female,173.968284,78.663721
Female,171.02031,82.285072
Female,170.156998,76.991666
Female,168.908857,74.075896
Female,173.616764,86.051034
Female,179.767126,87.146294
Female,180.888446,89.901238
Female,177.833948,95.039544
Female,181.364083,90.155852
Female,176.662093,89.847287
Female,187.499078,88.582259
Female,170.172082,74.816963
Female,181.402903,81.584827
Female,165.809423,70.420349
Female,173.416446,83.69652
Female,184.82404,100.097794
Female,172.972425,83.149154
Female,174.997633,89.108744
Female,175.995355,83.731091
Female,179.12899,94.135235
Female,176.945862,80.376924
Female,171.691983,73.984485
Female,184.170626,98.074859
Female,180.982583,92.830095
Female,182.395335,91.135964
Female,183.50272,100.199276
Female,168.942074,89.108085
Female,167.713746,76.494122
Female,171.645971,82.296427
Female,173.346284,90.109985
Female,187.518363,107.917128
Female,177.298259,78.490129
Female,167.537328,72.884939
Female,180.540705,85.548775
Female,169.154339,94.50394
Female,175.136899,87.740622
Female,173.340933,78.974764
Female,183.684736,89.524813
Female,182.411168,91.453521
Female,165.702106,82.105583
Female,179.426946,82.609303
Female,164.419091,80.534925
Female,170.44302,74.83115
Female,165.398412,75.167956
Female,182.121134,87.585968
Female,169.755511,81.956766
Female,168.837039,78.368779
Female,176.305277,80.499252
Female,177.932531,91.089773
Female,169.528756,76.08542
Female,168.336796,70.03262
Female,173.554258,80.732449
Female,177.992756,83.433194
Female,174.58179,81.285856
Female,171.59237,71.925171
Female,168.284227,75.52467
Female,175.722795,78.01042
Female,171.727127,79.090198
Female,176.003555,85.15979
Female,173.204337,91.393328
Female,181.881998,92.953253
Female,175.760018,81.050334
Female,170.845381,74.395632
Female,187.160391,101.273488
Female,176.624526,92.060264
Female,173.511362,85.906599
Female,172.056967,80.816739
Female,182.132637,101.286792
Female,161.625952,75.762885
Female,174.551844,81.85915
Female,170.051328,74.588281
Female,159.275754,68.025019
Female,183.536359,87.502554
Female,180.107979,91.572967
